Phytochemical,Link
"(3E,6Z)-3,7,11-trimethyldodeca-1,3,6,10-tetraene",https://neist.res.in/osadhi/phytodetail.php?phyto=+%283E%2C6Z%29-3%2C7%2C11-trimethyldodeca-1%2C3%2C6%2C10-tetraene
"(3E,7E,10E)-10-(1-hydroxypropan-2-ylidene)-3,7-dimethylcyclodeca-3,7-dien-1-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+%283E%2C7E%2C10E%29-10-%281-hydroxypropan-2-ylidene%29-3%2C7-dimethylcyclodeca-3%2C7-dien-1-one
"(3R,5R,8Z)-5,9,14-trimethyl-4,12-dioxatricyclo[9.3.0.03,5]tetradeca-1(11),8,13-trien-2-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+%283R%2C5R%2C8Z%29-5%2C9%2C14-trimethyl-4%2C12-dioxatricyclo%5B9.3.0.03%2C5%5Dtetradeca-1%2811%29%2C8%2C13-trien-2-one
"(3S,10S,13R,14R,15S,17R)-4,4,10,13,14-pentamethyl-17-[(2R)-6-methyl-5-methylideneheptan-2-yl]-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthrene-3,15-diol",https://neist.res.in/osadhi/phytodetail.php?phyto=+%283S%2C10S%2C13R%2C14R%2C15S%2C17R%29-4%2C4%2C10%2C13%2C14-pentamethyl-17-%5B%282R%29-6-methyl-5-methylideneheptan-2-yl%5D-2%2C3%2C5%2C6%2C12%2C15%2C16%2C17-octahydro-1H-cyclopenta%5Ba%5Dphenanthrene-3%2C15-diol
"(3S,9R,10R)-heptadeca-4,6-diyne-3,9,10-triol",https://neist.res.in/osadhi/phytodetail.php?phyto=+%283S%2C9R%2C10R%29-heptadeca-4%2C6-diyne-3%2C9%2C10-triol
"(4-Propan-2-ylcyclohexa-1,3-dien-1-yl)methanol",https://neist.res.in/osadhi/phytodetail.php?phyto=+%284-Propan-2-ylcyclohexa-1%2C3-dien-1-yl%29methanol
"(4aR,5R,6R,8aR)-5-[2-(furan-3-yl)ethyl]-5,6,8a-trimethyl-3,4,4a,6,7,8-hexahydronaphthalene-1-carboxylic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+%284aR%2C5R%2C6R%2C8aR%29-5-%5B2-%28furan-3-yl%29ethyl%5D-5%2C6%2C8a-trimethyl-3%2C4%2C4a%2C6%2C7%2C8-hexahydronaphthalene-1-carboxylic+acid
"(4E,7E)-1,5,9,9-Tetramethyl-12-oxabicyclo[9.1.0]dodeca-4,7-diene",https://neist.res.in/osadhi/phytodetail.php?phyto=+%284E%2C7E%29-1%2C5%2C9%2C9-Tetramethyl-12-oxabicyclo%5B9.1.0%5Ddodeca-4%2C7-diene
"(4S,5R,6R)-6-hydroxy-4,5-dimethyl-2-oxo-1,4,5,6-tetrahydropyrrolo[1,2-d][1,4]oxazocine-9-carbaldehyde",https://neist.res.in/osadhi/phytodetail.php?phyto=+%284S%2C5R%2C6R%29-6-hydroxy-4%2C5-dimethyl-2-oxo-1%2C4%2C5%2C6-tetrahydropyrrolo%5B1%2C2-d%5D%5B1%2C4%5Doxazocine-9-carbaldehyde
"(8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,7,8,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthrene-3,6-dione",https://neist.res.in/osadhi/phytodetail.php?phyto=+%288S%2C9S%2C10R%2C13R%2C14S%2C17R%29-17-%5B%282R%2C5R%29-5-ethyl-6-methylheptan-2-yl%5D-10%2C13-dimethyl-2%2C7%2C8%2C9%2C11%2C12%2C14%2C15%2C16%2C17-decahydro-1H-cyclopenta%5Ba%5Dphenanthrene-3%2C6-dione
"(9S,10E,12Z,15Z)-9-HYDROXY-10,12,15-OCTADECATRIENOIC-ACID",https://neist.res.in/osadhi/phytodetail.php?phyto=+%289S%2C10E%2C12Z%2C15Z%29-9-HYDROXY-10%2C12%2C15-OCTADECATRIENOIC-ACID
