Phytochemical,Link
4-[2-[2-(4-HYDROXYPHENYL)ETHOXY]ETHYL]PHENOL,https://neist.res.in/osadhi/phytodetail.php?phyto=4-%5B2-%5B2-%284-HYDROXYPHENYL%29ETHOXY%5DETHYL%5DPHENOL
"4-[3-CARBOXY-1-[[6,7,8,11,12,13,22-HEPTAHYDROXY-3,16-DIOXO-21-(3,4,5-TRIHYDROXYBENZOYL)OXY-2,17,20-TRIOXATETRACYCLO[17.3.1.04,9.010,15]TRICOSA-4,6,8,10,12,14-HEXAEN-23-YL]OXY]-1-OXOPROPAN-2-YL]-5,6,7-TRIHYDROXY-1-OXO-3,4-DIHYDROISOCHROMENE-3-CARBOXYLIC ACID",https://neist.res.in/osadhi/phytodetail.php?phyto=4-%5B3-CARBOXY-1-%5B%5B6%2C7%2C8%2C11%2C12%2C13%2C22-HEPTAHYDROXY-3%2C16-DIOXO-21-%283%2C4%2C5-TRIHYDROXYBENZOYL%29OXY-2%2C17%2C20-TRIOXATETRACYCLO%5B17.3.1.04%2C9.010%2C15%5DTRICOSA-4%2C6%2C8%2C10%2C12%2C14-HEXAEN-23-YL%5DOXY%5D-1-OXOPROPAN-2-YL%5D-5%2C6%2C7-TRIHYDROXY-1-OXO-3%2C4-DIHYDROISOCHROMENE-3-CARBOXYLIC+ACID
"4-[[(3R,4R,5S)-5-(4-HYDROXY-3-METHOXYPHENYL)-4-(HYDROXYMETHYL)OXOLAN-3-YL]METHYL]-2-METHOXYPHENOL",https://neist.res.in/osadhi/phytodetail.php?phyto=4-%5B%5B%283R%2C4R%2C5S%29-5-%284-HYDROXY-3-METHOXYPHENYL%29-4-%28HYDROXYMETHYL%29OXOLAN-3-YL%5DMETHYL%5D-2-METHOXYPHENOL
4-[[(4-CYANOPHENYL)-PHENYLPHOSPHORYL]-PHENYLPHOSPHORYL]BENZONITRILE,https://neist.res.in/osadhi/phytodetail.php?phyto=4-%5B%5B%284-CYANOPHENYL%29-PHENYLPHOSPHORYL%5D-PHENYLPHOSPHORYL%5DBENZONITRILE
"4?,5,7-Trihydroxy-6-[(1R*,6R*)-3-methyl6-(1-methylethenyl)cyclohex-2-en-1-yl]isoflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=4%3F%2C5%2C7-Trihydroxy-6-%5B%281R%2A%2C6R%2A%29-3-methyl6-%281-methylethenyl%29cyclohex-2-en-1-yl%5Disoflavone
"4?,5?-dihydropsoralen",https://neist.res.in/osadhi/phytodetail.php?phyto=4%3F%2C5%3F-dihydropsoralen
"4a, 5,6,7,7a-hexahydrocyclopetan pyran-4,7-dicaroxylate",https://neist.res.in/osadhi/phytodetail.php?phyto=4a%2C+5%2C6%2C7%2C7a-hexahydrocyclopetan+pyran-4%2C7-dicaroxylate
"4a-Methyl-1,2,3,4,4a,5,6,7-octahydronaphthalene",https://neist.res.in/osadhi/phytodetail.php?phyto=4a-Methyl-1%2C2%2C3%2C4%2C4a%2C5%2C6%2C7-octahydronaphthalene
4alpha-H-Confertin,https://neist.res.in/osadhi/phytodetail.php?phyto=4alpha-H-Confertin
4alpha-Hydroxydihydroagarofuran,https://neist.res.in/osadhi/phytodetail.php?phyto=4alpha-Hydroxydihydroagarofuran
"4alpha-Hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol",https://neist.res.in/osadhi/phytodetail.php?phyto=4alpha-Hydroxymethyl-5alpha-cholesta-8%2C24-dien-3beta-ol
4alpha-methyl-5alpha-cholest-8-en-3beta-ol,https://neist.res.in/osadhi/phytodetail.php?phyto=4alpha-methyl-5alpha-cholest-8-en-3beta-ol
"4alpha-Methyl-5alpha-cholesta-7,24-dien-3beta-ol",https://neist.res.in/osadhi/phytodetail.php?phyto=4alpha-Methyl-5alpha-cholesta-7%2C24-dien-3beta-ol
4alpha-Methylzymosterol,https://neist.res.in/osadhi/phytodetail.php?phyto=4alpha-Methylzymosterol
4BETA-HYDROXYWITHANOLIDE E,https://neist.res.in/osadhi/phytodetail.php?phyto=4BETA-HYDROXYWITHANOLIDE+E
4BETA-HYDROXYWITHANOLIDE-E,https://neist.res.in/osadhi/phytodetail.php?phyto=4BETA-HYDROXYWITHANOLIDE-E
"4H,8H-BENZO(1,2-B:3,4-B')DIPYRAN-4-ONE, 2,3-DIHYDRO-5-METHOXY-8,8-DIMETHYL-2-PHENYL-, (S)-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H%2C8H-BENZO%281%2C2-B%3A3%2C4-B%27%29DIPYRAN-4-ONE%2C+2%2C3-DIHYDRO-5-METHOXY-8%2C8-DIMETHYL-2-PHENYL-%2C+%28S%29-
"4H-1,3,2-Dioxaborin, 6-Ethenyl-2Ethyl-4-Methyl-4-(2-methylpropyl)-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1%2C3%2C2-Dioxaborin%2C+6-Ethenyl-2Ethyl-4-Methyl-4-%282-methylpropyl%29-
"4H-1,4-BENZOOXAZINE",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1%2C4-BENZOOXAZINE
4H-1-Benzopyran-4-one,https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1-Benzopyran-4-one
"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(beta-D-glucopyranosyloxy)-5-hydroxy-7-methoxy-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1-Benzopyran-4-one%2C+2-%283%2C4-dihydroxyphenyl%29-3-%28beta-D-glucopyranosyloxy%29-5-hydroxy-7-methoxy-
"4H-1-Benzopyran-4-one, 2-(3-furanyl)-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1-Benzopyran-4-one%2C+2-%283-furanyl%29-+
"4H-1-Benzopyran-4-one, 2-(4-(beta-D-glucopyranosyloxy)phenyl)-7-hydroxy-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1-Benzopyran-4-one%2C+2-%284-%28beta-D-glucopyranosyloxy%29phenyl%29-7-hydroxy-
"4H-1-Benzopyran-4-one, 3-((4-O-beta-D-galactopyranosyl-beta-D-glucopyranosyl)oxy)-5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1-Benzopyran-4-one%2C+3-%28%284-O-beta-D-galactopyranosyl-beta-D-glucopyranosyl%29oxy%29-5%2C7-dihydroxy-2-%284-hydroxy-3-methoxyphenyl%29-
"4H-1-Benzopyran-4-one, 3-((6-deoxy-alpha-L-mannopyranosyl)oxy)-5,7-dihydroxy-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1-Benzopyran-4-one%2C+3-%28%286-deoxy-alpha-L-mannopyranosyl%29oxy%29-5%2C7-dihydroxy-
"4H-1-BENZOPYRAN-4-ONE, 3-(3,5-DIHYDROXY-4-METHOXYPHENYL)-5,7-DIHYDROXY-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1-BENZOPYRAN-4-ONE%2C+3-%283%2C5-DIHYDROXY-4-METHOXYPHENYL%29-5%2C7-DIHYDROXY-
"4H-1-Benzopyran-4-one, 7-(beta-D-galactopyranosyloxy)-6-methoxy-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1-Benzopyran-4-one%2C+7-%28beta-D-galactopyranosyloxy%29-6-methoxy-
"4H-1-BENZOPYRAN-4-ONE, 8-(2,5-DIHYDRO-5,5-DIMETHYL-2-OXO-3-FURANYL)-7-METHOXY-2-PHENYL-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-1-BENZOPYRAN-4-ONE%2C+8-%282%2C5-DIHYDRO-5%2C5-DIMETHYL-2-OXO-3-FURANYL%29-7-METHOXY-2-PHENYL-
"4H-Dibenzo(de,g)quinoline, 5,6,6a,7-tetrahydro-1,2,10-trimethoxy-6-methyl-, (S)-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-Dibenzo%28de%2Cg%29quinoline%2C+5%2C6%2C6a%2C7-tetrahydro-1%2C2%2C10-trimethoxy-6-methyl-%2C+%28S%29-
"4H-Dibenzo(de,g)quinoline-1,10-diol, 5,6,6a,7-tetrahydro-2-methoxy-6-methyl-11-(4-(((1S)-1,2,3,4-tetrahydro-6,7-dimethoxy-2-methyl-1-isoquinolinyl)methyl)phenoxy)-, (6aR)-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-Dibenzo%28de%2Cg%29quinoline-1%2C10-diol%2C+5%2C6%2C6a%2C7-tetrahydro-2-methoxy-6-methyl-11-%284-%28%28%281S%29-1%2C2%2C3%2C4-tetrahydro-6%2C7-dimethoxy-2-methyl-1-isoquinolinyl%29methyl%29phenoxy%29-%2C+%286aR%29-
"4H-Dibenzo(de,g)quinoline-1,2-diol, 5,6,6a,7-tetrahydro-9,10-dimethoxy-6-methyl-, (6aS)-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-Dibenzo%28de%2Cg%29quinoline-1%2C2-diol%2C+5%2C6%2C6a%2C7-tetrahydro-9%2C10-dimethoxy-6-methyl-%2C+%286aS%29-+
"4H-Furo[3,2-g][1]benzopyran-4,9(5H)-dione, 2,3,6,7-tetrahydro-3-methyl-6-(1-methylethyl)-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-Furo%5B3%2C2-g%5D%5B1%5Dbenzopyran-4%2C9%285H%29-dione%2C+2%2C3%2C6%2C7-tetrahydro-3-methyl-6-%281-methylethyl%29-+
"4H-Pyran-4-one, 2,3-dihydro-2,5-dihydroxy-6-methyl-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-Pyran-4-one%2C+2%2C3-dihydro-2%2C5-dihydroxy-6-methyl-
"4H-PYRAN-4-ONE, 2,3-DIHYDRO-3,5-DIHYDROXY-6-METHYL-",https://neist.res.in/osadhi/phytodetail.php?phyto=4H-PYRAN-4-ONE%2C+2%2C3-DIHYDRO-3%2C5-DIHYDROXY-6-METHYL-
4H-Tomentosin,https://neist.res.in/osadhi/phytodetail.php?phyto=4H-Tomentosin
"4’,5,7-trihydroxy-flavone",https://neist.res.in/osadhi/phytodetail.php?phyto=4%E2%80%99%2C5%2C7-trihydroxy-flavone
4’-hydroxyisolonchocarpin,https://neist.res.in/osadhi/phytodetail.php?phyto=4%E2%80%99-hydroxyisolonchocarpin
"5'-(HYDROXYMETHYL)-7,9,13-TRIMETHYLSPIRO[5-OXAPENTACYCLO[10.8.0.02,9.04,8.013,18]ICOS-18-ENE-6,2'-OXANE]-16-OL",https://neist.res.in/osadhi/phytodetail.php?phyto=5%27-%28HYDROXYMETHYL%29-7%2C9%2C13-TRIMETHYLSPIRO%5B5-OXAPENTACYCLO%5B10.8.0.02%2C9.04%2C8.013%2C18%5DICOS-18-ENE-6%2C2%27-OXANE%5D-16-OL
5'-O-BETA-D-GLUCOPYRANOSYL-PYRIDOXINE,https://neist.res.in/osadhi/phytodetail.php?phyto=5%27-O-BETA-D-GLUCOPYRANOSYL-PYRIDOXINE
"5(S),9(S),10(S)-15,16-Epoxycleroda-3,8,13(16),14-tetraene-19,18:20,12(S)-diolactone (swassin)",https://neist.res.in/osadhi/phytodetail.php?phyto=5%28S%29%2C9%28S%29%2C10%28S%29-15%2C16-Epoxycleroda-3%2C8%2C13%2816%29%2C14-tetraene-19%2C18%3A20%2C12%28S%29-diolactone+%28swassin%29
"5,  7-dihydroxyflavanone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C++7-dihydroxyflavanone
"5,10-DIHYDROXY-2,2-DIMETHYLPYRANO[3,2-B]XANTHEN-6-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C10-DIHYDROXY-2%2C2-DIMETHYLPYRANO%5B3%2C2-B%5DXANTHEN-6-ONE
"5,10-DIMETHOXY-2,2-DIMETHYLPYRANO[3,2-G]CHROMEN-8-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C10-DIMETHOXY-2%2C2-DIMETHYLPYRANO%5B3%2C2-G%5DCHROMEN-8-ONE
"5,12-DIMETHOXY-17-METHYL-17-AZATETRACYCLO[7.7.1.02,7.010,15]HEPTADECA-2,4,6,10,12,14-HEXAENE-4,13-DIOL",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C12-DIMETHOXY-17-METHYL-17-AZATETRACYCLO%5B7.7.1.02%2C7.010%2C15%5DHEPTADECA-2%2C4%2C6%2C10%2C12%2C14-HEXAENE-4%2C13-DIOL
"5,2'-Dihydroxy-7,8,6'-trimethoxyflavanone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C2%27-Dihydroxy-7%2C8%2C6%27-trimethoxyflavanone
"5,3',4'-TRIHYDROXY-3-METHOXY-6,7-METHYLENEDIOXYFLAVONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C3%27%2C4%27-TRIHYDROXY-3-METHOXY-6%2C7-METHYLENEDIOXYFLAVONE
"5,3-Dihexanoyl 3,6,7,4- tetramethoxyflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C3-Dihexanoyl+3%2C6%2C7%2C4-+tetramethoxyflavone
"5,3-dihydroxy- 7,8,4- trimethoxy flavanone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C3-dihydroxy-+7%2C8%2C4-+trimethoxy+flavanone
"5,3?-dibenzoyloxy-3,6,7,4- teramethoxyflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C3%3F-dibenzoyloxy-3%2C6%2C7%2C4-+teramethoxyflavone
"5,3?-dibenzoyloxy-3,6,7,4- tetramethoxyflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C3%3F-dibenzoyloxy-3%2C6%2C7%2C4-+tetramethoxyflavone
"5,3?-dihydroxy-7,8,4?trimethoxyflavonone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C3%3F-dihydroxy-7%2C8%2C4%3Ftrimethoxyflavonone
"5,3?-Dipropanyloxy-3,6,7,4?- tetramethoxyflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C3%3F-Dipropanyloxy-3%2C6%2C7%2C4%3F-+tetramethoxyflavone
"5,4 ? d i hydroxy-2? methoxy - 8 -(3,3- dimethylallyl)- 2?, 2?-dimethylpyranol [5,6:6,7]",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C4+%3F+d+i+hydroxy-2%3F+methoxy+-+8+-%283%2C3-+dimethylallyl%29-+2%3F%2C+2%3F-dimethylpyranol+%5B5%2C6%3A6%2C7%5D
"5,4'-DIHYDROXY-3,3'-DIMETHOXY-6,7-METHYLENEDIOXYFLAVONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C4%27-DIHYDROXY-3%2C3%27-DIMETHOXY-6%2C7-METHYLENEDIOXYFLAVONE
"5,4'-Dihydroxy-6,7,8,3'-tetramethoxyflavone 4'-galactoside",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C4%27-Dihydroxy-6%2C7%2C8%2C3%27-tetramethoxyflavone+4%27-galactoside
"5,4?-Dihydroxy-3,7,3?-trimethoxyflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C4%3F-Dihydroxy-3%2C7%2C3%3F-trimethoxyflavone
"5,4?-Dihydroxy-3,7-dimethoxyflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C4%3F-Dihydroxy-3%2C7-dimethoxyflavone
"5,4´-dihydroxy-7-methoxy flavone (sakuranetin",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C4%C2%B4-dihydroxy-7-methoxy+flavone+%28sakuranetin
"5,5'-dicyano-2,2':5',2'-terthienyl",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C5%27-dicyano-2%2C2%27%3A5%27%2C2%27-terthienyl
"5,5,9,14-TETRAMETHYLTETRACYCLO[11.2.1.01,10.04,9]HEXADEC-14-ENE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C5%2C9%2C14-TETRAMETHYLTETRACYCLO%5B11.2.1.01%2C10.04%2C9%5DHEXADEC-14-ENE
"5,5,9-TRIMETHYL-14-METHYLIDENETETRACYCLO[11.2.1.01,10.04,9]HEXADECANE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C5%2C9-TRIMETHYL-14-METHYLIDENETETRACYCLO%5B11.2.1.01%2C10.04%2C9%5DHEXADECANE
"5,5-Dimethyl-1,3-cyclohexanedione",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C5-Dimethyl-1%2C3-cyclohexanedione+
"5,5-Dimethyl-2(5H)-furanone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C5-Dimethyl-2%285H%29-furanone
"5,6,14,15-TETRAHYDROXY-8-OXATRICYCLO[10.4.0.02,7]HEXADECA-1(16),2(7),3,5,12,14-HEXAEN-10-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C14%2C15-TETRAHYDROXY-8-OXATRICYCLO%5B10.4.0.02%2C7%5DHEXADECA-1%2816%29%2C2%287%29%2C3%2C5%2C12%2C14-HEXAEN-10-ONE
"5,6,7,3',4',5'-Hexamethoxyflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C7%2C3%27%2C4%27%2C5%27-Hexamethoxyflavone
"5,6,7,8,3',4',5'-Heptamethoxyflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C7%2C8%2C3%27%2C4%27%2C5%27-Heptamethoxyflavone
"5,6,7,8-TETRAMETHOXY-2-(4-METHOXYPHENYL)CHROMEN-4-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C7%2C8-TETRAMETHOXY-2-%284-METHOXYPHENYL%29CHROMEN-4-ONE
"5,6,7-TRIHYDROXY-2-(4-HYDROXY-3-METHOXYPHENYL)CHROMEN-4-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C7-TRIHYDROXY-2-%284-HYDROXY-3-METHOXYPHENYL%29CHROMEN-4-ONE
"5,6,7-TRIMETHOXY-1-[(4-METHOXYPHENYL)METHYL]-1,2,3,4-TETRAHYDROISOQUINOLINE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C7-TRIMETHOXY-1-%5B%284-METHOXYPHENYL%29METHYL%5D-1%2C2%2C3%2C4-TETRAHYDROISOQUINOLINE
"5,6,7-TRIMETHOXY-2-(4-METHOXYPHENYL)CHROMEN-4-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C7-TRIMETHOXY-2-%284-METHOXYPHENYL%29CHROMEN-4-ONE
"5,6,7-TRIMETHOXY-2-METHYLISOQUINOLIN-1-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C7-TRIMETHOXY-2-METHYLISOQUINOLIN-1-ONE
"5,6,7-TRIMETHOXY-2-PHENYLCHROMEN-4-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C7-TRIMETHOXY-2-PHENYLCHROMEN-4-ONE
"5,6,9-TRIHYDROXY-1,1-DIMETHYL-7-PROPAN-2-YL-2,3,4,9,10,10A-HEXAHYDROPHENANTHRENE-4A-CARBOXYLIC ACID",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C9-TRIHYDROXY-1%2C1-DIMETHYL-7-PROPAN-2-YL-2%2C3%2C4%2C9%2C10%2C10A-HEXAHYDROPHENANTHRENE-4A-CARBOXYLIC+ACID
"5,6,9-TRIMETHYLTETRACYCLO[7.2.1.01,6.08,10]DODECANE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6%2C9-TRIMETHYLTETRACYCLO%5B7.2.1.01%2C6.08%2C10%5DDODECANE
"5,6-Decadien-3-yne, 5,7-diethyl-",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6-Decadien-3-yne%2C+5%2C7-diethyl-
"5,6-dehydroarachidonic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6-dehydroarachidonic+acid
"5,6-Dehydrokawain",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6-Dehydrokawain
"5,6-DIHYDRO-BETA-BETA-CAROTENE-3,3',5,6-TETROL",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6-DIHYDRO-BETA-BETA-CAROTENE-3%2C3%27%2C5%2C6-TETROL
"5,6-Dihydrodibenzo(a,g)quinolizinium",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6-Dihydrodibenzo%28a%2Cg%29quinolizinium+
"5,6-DIHYDROXY-2-(4-HYDROXY-3-METHOXYPHENYL)-7,8-DIMETHOXYCHROMEN-4-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6-DIHYDROXY-2-%284-HYDROXY-3-METHOXYPHENYL%29-7%2C8-DIMETHOXYCHROMEN-4-ONE
"5,6-dihydroxy-7-methoxyflavone 6-O-b-D-xylopyranoside",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6-dihydroxy-7-methoxyflavone+6-O-b-D-xylopyranoside
"5,6-DIHYDROXYCYCLOHEXA-1,3-DIENE-1-CARBOXYLIC ACID",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6-DIHYDROXYCYCLOHEXA-1%2C3-DIENE-1-CARBOXYLIC+ACID
"5,6-DIMETHYLDECANE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C6-DIMETHYLDECANE
"5,7,11-TRIHYDROXY-7-(METHOXYMETHYL)-2-METHYLSPIRO[9-OXATRICYCLO[6.3.1.01,5]DODECANE-6,3'-OXETANE]-2',10-DIONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C11-TRIHYDROXY-7-%28METHOXYMETHYL%29-2-METHYLSPIRO%5B9-OXATRICYCLO%5B6.3.1.01%2C5%5DDODECANE-6%2C3%27-OXETANE%5D-2%27%2C10-DIONE
"5,7,19,21-TETRAOXA-13-AZAHEXACYCLO[10.10.1.02,10.04,8.016,23.018,22]TRICOSA-1(23),2,4(8),9,12,14,16,18(22)-OCTAEN-11-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C19%2C21-TETRAOXA-13-AZAHEXACYCLO%5B10.10.1.02%2C10.04%2C8.016%2C23.018%2C22%5DTRICOSA-1%2823%29%2C2%2C4%288%29%2C9%2C12%2C14%2C16%2C18%2822%29-OCTAEN-11-ONE
"5,7,2',4'-Tetrahydroxy-6,3'-diprenylisoflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C2%27%2C4%27-Tetrahydroxy-6%2C3%27-diprenylisoflavone
"5,7,2',4'-Tetrahydroxy-8,3'-diprenylisoflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C2%27%2C4%27-Tetrahydroxy-8%2C3%27-diprenylisoflavone
"5,7,4'-Trihydroxy-3',5'-dimethoxy-6,2'-diprenylisoflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C4%27-Trihydroxy-3%27%2C5%27-dimethoxy-6%2C2%27-diprenylisoflavone
"5,7,4'-Trihydroxy-3'-methoxy-5'-prenylisoflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C4%27-Trihydroxy-3%27-methoxy-5%27-prenylisoflavone
"5,7,4'-Trihydroxy-3,8-dimethoxyflavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C4%27-Trihydroxy-3%2C8-dimethoxyflavone+
"5,7,4?-Trihydroxy-3-methoxy-3?-(3-methylbut-2-en-1-yl)flavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C4%3F-Trihydroxy-3-methoxy-3%3F-%283-methylbut-2-en-1-yl%29flavone
"5,7,8, 3?,4?-Pentamethoxy flavone",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C8%2C+3%3F%2C4%3F-Pentamethoxy+flavone
"5,7,8,15-Tetrahydro-4-hydroxy-3-methoxy-6-methyl[1,3]benzodioxolo[5,6-e][2]benzazecin-14(6H)-one",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C8%2C15-Tetrahydro-4-hydroxy-3-methoxy-6-methyl%5B1%2C3%5Dbenzodioxolo%5B5%2C6-e%5D%5B2%5Dbenzazecin-14%286H%29-one+
"5,7,8-TRIMETHOXYCOUMARIN",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C8-TRIMETHOXYCOUMARIN
"5,7,8-Trimethyl-3,4-dihydrochromen-2-one",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C8-Trimethyl-3%2C4-dihydrochromen-2-one
"5,7,9-triyne",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7%2C9-triyne
"5,7-DIHYDROXY-2-(3,4,5-TRIHYDROXYPHENYL)CHROMEN-4-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7-DIHYDROXY-2-%283%2C4%2C5-TRIHYDROXYPHENYL%29CHROMEN-4-ONE
"5,7-DIHYDROXY-2-(3-HYDROXY-4-METHOXYPHENYL)-3,6-DIMETHOXYCHROMEN-4-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7-DIHYDROXY-2-%283-HYDROXY-4-METHOXYPHENYL%29-3%2C6-DIMETHOXYCHROMEN-4-ONE
"5,7-DIHYDROXY-2-(3-HYDROXY-4-METHOXYPHENYL)-6-METHOXYCHROMEN-4-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7-DIHYDROXY-2-%283-HYDROXY-4-METHOXYPHENYL%29-6-METHOXYCHROMEN-4-ONE
"5,7-dihydroxy-2-(4-hydroxy-3-methoxy-phenyl)-3-[(1R,2R,3S,4R,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexoxy]chromen-4-one",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7-dihydroxy-2-%284-hydroxy-3-methoxy-phenyl%29-3-%5B%281R%2C2R%2C3S%2C4R%2C5R%29-2%2C3%2C4-trihydroxy-5-%28hydroxymethyl%29cyclohexoxy%5Dchromen-4-one
"5,7-DIHYDROXY-2-(4-HYDROXY-3-METHOXYPHENYL)-3,6-DIMETHOXYCHROMEN-4-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7-DIHYDROXY-2-%284-HYDROXY-3-METHOXYPHENYL%29-3%2C6-DIMETHOXYCHROMEN-4-ONE
"5,7-DIHYDROXY-2-(4-HYDROXY-3-METHOXYPHENYL)-3-[(2S,3R,4S,5S,6R)-3,4,5-TRIHYDROXY-6-[[(2R,3R,4R,5R,6S)-3,4,5-TRIHYDROXY-6-METHYLOXAN-2-YL]OXYMETHYL]OXAN-2-YL]OXYCHROMEN-4-ONE",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7-DIHYDROXY-2-%284-HYDROXY-3-METHOXYPHENYL%29-3-%5B%282S%2C3R%2C4S%2C5S%2C6R%29-3%2C4%2C5-TRIHYDROXY-6-%5B%5B%282R%2C3R%2C4R%2C5R%2C6S%29-3%2C4%2C5-TRIHYDROXY-6-METHYLOXAN-2-YL%5DOXYMETHYL%5DOXAN-2-YL%5DOXYCHROMEN-4-ONE
"5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4h-chromen-3-yl 6-o-(6-deoxy-alpha-d-mannopyranosyl)-beta-d-glucopyranoside",https://neist.res.in/osadhi/phytodetail.php?phyto=5%2C7-dihydroxy-2-%284-hydroxy-3-methoxyphenyl%29-4-oxo-4h-chromen-3-yl+6-o-%286-deoxy-alpha-d-mannopyranosyl%29-beta-d-glucopyranoside
