Phytochemicals,Link
Adiantum lunulatum,https://cb.imsc.res.in/imppat/therapeutics/Adiantum%20lunulatum
Adiantum pedatum,https://cb.imsc.res.in/imppat/therapeutics/Adiantum%20pedatum
Adiantum venustum,https://cb.imsc.res.in/imppat/therapeutics/Adiantum%20venustum
Adonis aestivalis,https://cb.imsc.res.in/imppat/therapeutics/Adonis%20aestivalis
Adonis annua,https://cb.imsc.res.in/imppat/therapeutics/Adonis%20annua
Adonis chrysocyathus,https://cb.imsc.res.in/imppat/therapeutics/Adonis%20chrysocyathus
Aegialitis rotundifolia,https://cb.imsc.res.in/imppat/therapeutics/Aegialitis%20rotundifolia
Aegiceras corniculatum,https://cb.imsc.res.in/imppat/therapeutics/Aegiceras%20corniculatum
Aeginetia indica,https://cb.imsc.res.in/imppat/therapeutics/Aeginetia%20indica
Aegle marmelos,https://cb.imsc.res.in/imppat/therapeutics/Aegle%20marmelos
Aeollanthus pubescens,https://cb.imsc.res.in/imppat/therapeutics/Aeollanthus%20pubescens
Aerva javanica,https://cb.imsc.res.in/imppat/therapeutics/Aerva%20javanica
Aerva lanata,https://cb.imsc.res.in/imppat/therapeutics/Aerva%20lanata
Aeschynomene brasiliana,https://cb.imsc.res.in/imppat/therapeutics/Aeschynomene%20brasiliana
Aeschynomene indica,https://cb.imsc.res.in/imppat/therapeutics/Aeschynomene%20indica
Aesculus assamica,https://cb.imsc.res.in/imppat/therapeutics/Aesculus%20assamica
Aesculus hippocastanum,https://cb.imsc.res.in/imppat/therapeutics/Aesculus%20hippocastanum
Aesculus indica,https://cb.imsc.res.in/imppat/therapeutics/Aesculus%20indica
Aframomum melegueta,https://cb.imsc.res.in/imppat/therapeutics/Aframomum%20melegueta
Afrocarpus gracilior,https://cb.imsc.res.in/imppat/therapeutics/Afrocarpus%20gracilior
Aganosma dichotoma,https://cb.imsc.res.in/imppat/therapeutics/Aganosma%20dichotoma
Agapanthus africanus,https://cb.imsc.res.in/imppat/therapeutics/Agapanthus%20africanus
Agastache mexicana,https://cb.imsc.res.in/imppat/therapeutics/Agastache%20mexicana
Agastache rugosa,https://cb.imsc.res.in/imppat/therapeutics/Agastache%20rugosa
Agave americana,https://cb.imsc.res.in/imppat/therapeutics/Agave%20americana
Agave cantala,https://cb.imsc.res.in/imppat/therapeutics/Agave%20cantala
Agave sisalana,https://cb.imsc.res.in/imppat/therapeutics/Agave%20sisalana
Agave vera-cruz,https://cb.imsc.res.in/imppat/therapeutics/Agave%20vera-cruz
Agave vivipara,https://cb.imsc.res.in/imppat/therapeutics/Agave%20vivipara
Ageratina adenophora,https://cb.imsc.res.in/imppat/therapeutics/Ageratina%20adenophora
Ageratina ligustrina,https://cb.imsc.res.in/imppat/therapeutics/Ageratina%20ligustrina
Ageratina riparia,https://cb.imsc.res.in/imppat/therapeutics/Ageratina%20riparia
Ageratum conyzoides,https://cb.imsc.res.in/imppat/therapeutics/Ageratum%20conyzoides
Ageratum houstonianum,https://cb.imsc.res.in/imppat/therapeutics/Ageratum%20houstonianum
Aglaia elaeagnoidea,https://cb.imsc.res.in/imppat/therapeutics/Aglaia%20elaeagnoidea
Aglaia hiernii,https://cb.imsc.res.in/imppat/therapeutics/Aglaia%20hiernii
Aglaia lawii,https://cb.imsc.res.in/imppat/therapeutics/Aglaia%20lawii
Aglaia odorata,https://cb.imsc.res.in/imppat/therapeutics/Aglaia%20odorata
Aglaia odoratissima,https://cb.imsc.res.in/imppat/therapeutics/Aglaia%20odoratissima
Aglaia spectabilis,https://cb.imsc.res.in/imppat/therapeutics/Aglaia%20spectabilis
Aglaonema commutatum,https://cb.imsc.res.in/imppat/therapeutics/Aglaonema%20commutatum
Agrimonia eupatoria,https://cb.imsc.res.in/imppat/therapeutics/Agrimonia%20eupatoria
Agrimonia pilosa,https://cb.imsc.res.in/imppat/therapeutics/Agrimonia%20pilosa
Agrostemma githago,https://cb.imsc.res.in/imppat/therapeutics/Agrostemma%20githago
Ailanthus altissima,https://cb.imsc.res.in/imppat/therapeutics/Ailanthus%20altissima
Ailanthus excelsa,https://cb.imsc.res.in/imppat/therapeutics/Ailanthus%20excelsa
Ailanthus integrifolia,https://cb.imsc.res.in/imppat/therapeutics/Ailanthus%20integrifolia
Ailanthus triphysa,https://cb.imsc.res.in/imppat/therapeutics/Ailanthus%20triphysa
Ajania fruticulosa,https://cb.imsc.res.in/imppat/therapeutics/Ajania%20fruticulosa
Ajuga integrifolia,https://cb.imsc.res.in/imppat/therapeutics/Ajuga%20integrifolia
Ajuga lupulina,https://cb.imsc.res.in/imppat/therapeutics/Ajuga%20lupulina
Ajuga macrosperma,https://cb.imsc.res.in/imppat/therapeutics/Ajuga%20macrosperma
Ajuga parviflora,https://cb.imsc.res.in/imppat/therapeutics/Ajuga%20parviflora
Alangium chinense,https://cb.imsc.res.in/imppat/therapeutics/Alangium%20chinense
Alangium salviifolium,https://cb.imsc.res.in/imppat/therapeutics/Alangium%20salviifolium
Albizia amara,https://cb.imsc.res.in/imppat/therapeutics/Albizia%20amara
Albizia chinensis,https://cb.imsc.res.in/imppat/therapeutics/Albizia%20chinensis
Albizia julibrissin,https://cb.imsc.res.in/imppat/therapeutics/Albizia%20julibrissin
Albizia lebbeck,https://cb.imsc.res.in/imppat/therapeutics/Albizia%20lebbeck
Albizia lucidior,https://cb.imsc.res.in/imppat/therapeutics/Albizia%20lucidior
Albizia odoratissima,https://cb.imsc.res.in/imppat/therapeutics/Albizia%20odoratissima
Albizia procera,https://cb.imsc.res.in/imppat/therapeutics/Albizia%20procera
Albizia saman,https://cb.imsc.res.in/imppat/therapeutics/Albizia%20saman
Alcea rosea,https://cb.imsc.res.in/imppat/therapeutics/Alcea%20rosea
Alectra parasitica,https://cb.imsc.res.in/imppat/therapeutics/Alectra%20parasitica
Aleurites moluccanus,https://cb.imsc.res.in/imppat/therapeutics/Aleurites%20moluccanus
Alhagi maurorum,https://cb.imsc.res.in/imppat/therapeutics/Alhagi%20maurorum
Alisma plantago,https://cb.imsc.res.in/imppat/therapeutics/Alisma%20plantago
Alisma plantago-aquatica,https://cb.imsc.res.in/imppat/therapeutics/Alisma%20plantago-aquatica
Alkanna tinctoria,https://cb.imsc.res.in/imppat/therapeutics/Alkanna%20tinctoria
Allamanda blanchetii,https://cb.imsc.res.in/imppat/therapeutics/Allamanda%20blanchetii
Allamanda cathartica,https://cb.imsc.res.in/imppat/therapeutics/Allamanda%20cathartica
Allamanda schottii,https://cb.imsc.res.in/imppat/therapeutics/Allamanda%20schottii
Alliaria petiolata,https://cb.imsc.res.in/imppat/therapeutics/Alliaria%20petiolata
Allium ampeloprasum,https://cb.imsc.res.in/imppat/therapeutics/Allium%20ampeloprasum
Allium ascalonicum,https://cb.imsc.res.in/imppat/therapeutics/Allium%20ascalonicum
Allium cepa,https://cb.imsc.res.in/imppat/therapeutics/Allium%20cepa
Allium chinense,https://cb.imsc.res.in/imppat/therapeutics/Allium%20chinense
