Phytochemicals,Link
Allamanda schottii,https://cb.imsc.res.in/imppat/phytochemical/Allamanda%20schottii
Alliaria petiolata,https://cb.imsc.res.in/imppat/phytochemical/Alliaria%20petiolata
Allium ampeloprasum,https://cb.imsc.res.in/imppat/phytochemical/Allium%20ampeloprasum
Allium ascalonicum,https://cb.imsc.res.in/imppat/phytochemical/Allium%20ascalonicum
Allium cepa,https://cb.imsc.res.in/imppat/phytochemical/Allium%20cepa
Allium chinense,https://cb.imsc.res.in/imppat/phytochemical/Allium%20chinense
Allium sativum,https://cb.imsc.res.in/imppat/phytochemical/Allium%20sativum
Allium schoenoprasum,https://cb.imsc.res.in/imppat/phytochemical/Allium%20schoenoprasum
Allium tuberosum,https://cb.imsc.res.in/imppat/phytochemical/Allium%20tuberosum
Allium victorialis,https://cb.imsc.res.in/imppat/phytochemical/Allium%20victorialis
Allium wallichii,https://cb.imsc.res.in/imppat/phytochemical/Allium%20wallichii
Allophylus cobbe,https://cb.imsc.res.in/imppat/phytochemical/Allophylus%20cobbe
Allophylus serratus,https://cb.imsc.res.in/imppat/phytochemical/Allophylus%20serratus
Alnus nepalensis,https://cb.imsc.res.in/imppat/phytochemical/Alnus%20nepalensis
Alnus nitida,https://cb.imsc.res.in/imppat/phytochemical/Alnus%20nitida
Alocasia cucullata,https://cb.imsc.res.in/imppat/phytochemical/Alocasia%20cucullata
Alocasia fornicata,https://cb.imsc.res.in/imppat/phytochemical/Alocasia%20fornicata
Alocasia macrorrhizos,https://cb.imsc.res.in/imppat/phytochemical/Alocasia%20macrorrhizos
Aloe christianii,https://cb.imsc.res.in/imppat/phytochemical/Aloe%20christianii
Aloe ferox,https://cb.imsc.res.in/imppat/phytochemical/Aloe%20ferox
Aloe perryi,https://cb.imsc.res.in/imppat/phytochemical/Aloe%20perryi
Aloe succotrina,https://cb.imsc.res.in/imppat/phytochemical/Aloe%20succotrina
Aloe vera,https://cb.imsc.res.in/imppat/phytochemical/Aloe%20vera
Aloysia citriodora,https://cb.imsc.res.in/imppat/phytochemical/Aloysia%20citriodora
Aloysia gratissima,https://cb.imsc.res.in/imppat/phytochemical/Aloysia%20gratissima
Alphonsea ventricosa,https://cb.imsc.res.in/imppat/phytochemical/Alphonsea%20ventricosa
Alpinia calcarata,https://cb.imsc.res.in/imppat/phytochemical/Alpinia%20calcarata
Alpinia galanga,https://cb.imsc.res.in/imppat/phytochemical/Alpinia%20galanga
Alpinia hainanensis,https://cb.imsc.res.in/imppat/phytochemical/Alpinia%20hainanensis
Alpinia japonica,https://cb.imsc.res.in/imppat/phytochemical/Alpinia%20japonica
Alpinia malaccensis,https://cb.imsc.res.in/imppat/phytochemical/Alpinia%20malaccensis
Alpinia nigra,https://cb.imsc.res.in/imppat/phytochemical/Alpinia%20nigra
Alpinia officinarum,https://cb.imsc.res.in/imppat/phytochemical/Alpinia%20officinarum
Alpinia zerumbet,https://cb.imsc.res.in/imppat/phytochemical/Alpinia%20zerumbet
Alseodaphne semecarpifolia,https://cb.imsc.res.in/imppat/phytochemical/Alseodaphne%20semecarpifolia
Alstonia macrophylla,https://cb.imsc.res.in/imppat/phytochemical/Alstonia%20macrophylla
Alstonia neriifolia,https://cb.imsc.res.in/imppat/phytochemical/Alstonia%20neriifolia
Alstonia scholaris,https://cb.imsc.res.in/imppat/phytochemical/Alstonia%20scholaris
Alstonia spectabilis,https://cb.imsc.res.in/imppat/phytochemical/Alstonia%20spectabilis
Alstonia venenata,https://cb.imsc.res.in/imppat/phytochemical/Alstonia%20venenata
Alternanthera philoxeroides,https://cb.imsc.res.in/imppat/phytochemical/Alternanthera%20philoxeroides
Alternanthera pungens,https://cb.imsc.res.in/imppat/phytochemical/Alternanthera%20pungens
Alternanthera sessilis,https://cb.imsc.res.in/imppat/phytochemical/Alternanthera%20sessilis
Althaea officinalis,https://cb.imsc.res.in/imppat/phytochemical/Althaea%20officinalis
Altingia excelsa,https://cb.imsc.res.in/imppat/phytochemical/Altingia%20excelsa
Alysicarpus bupleurifolius,https://cb.imsc.res.in/imppat/phytochemical/Alysicarpus%20bupleurifolius
Alysicarpus rugosus,https://cb.imsc.res.in/imppat/phytochemical/Alysicarpus%20rugosus
Alyxia reinwardtii,https://cb.imsc.res.in/imppat/phytochemical/Alyxia%20reinwardtii
Alyxia stellata,https://cb.imsc.res.in/imppat/phytochemical/Alyxia%20stellata
Amaranthus blitum,https://cb.imsc.res.in/imppat/phytochemical/Amaranthus%20blitum
Amaranthus caudatus,https://cb.imsc.res.in/imppat/phytochemical/Amaranthus%20caudatus
Amaranthus dubius,https://cb.imsc.res.in/imppat/phytochemical/Amaranthus%20dubius
Amaranthus graecizans,https://cb.imsc.res.in/imppat/phytochemical/Amaranthus%20graecizans
Amaranthus hybridus,https://cb.imsc.res.in/imppat/phytochemical/Amaranthus%20hybridus
Amaranthus hypochondriacus,https://cb.imsc.res.in/imppat/phytochemical/Amaranthus%20hypochondriacus
Amaranthus retroflexus,https://cb.imsc.res.in/imppat/phytochemical/Amaranthus%20retroflexus
Amaranthus spinosus,https://cb.imsc.res.in/imppat/phytochemical/Amaranthus%20spinosus
Amaranthus tricolor,https://cb.imsc.res.in/imppat/phytochemical/Amaranthus%20tricolor
Amaranthus viridis,https://cb.imsc.res.in/imppat/phytochemical/Amaranthus%20viridis
Amaryllis belladonna,https://cb.imsc.res.in/imppat/phytochemical/Amaryllis%20belladonna
Amberboa moschata,https://cb.imsc.res.in/imppat/phytochemical/Amberboa%20moschata
Amberboa ramosa,https://cb.imsc.res.in/imppat/phytochemical/Amberboa%20ramosa
Ambroma augusta,https://cb.imsc.res.in/imppat/phytochemical/Ambroma%20augusta
Ambrosia artemisiifolia,https://cb.imsc.res.in/imppat/phytochemical/Ambrosia%20artemisiifolia
Amischotolype mollissima,https://cb.imsc.res.in/imppat/phytochemical/Amischotolype%20mollissima
Ammannia baccifera,https://cb.imsc.res.in/imppat/phytochemical/Ammannia%20baccifera
Ammannia multiflora,https://cb.imsc.res.in/imppat/phytochemical/Ammannia%20multiflora
Ammi majus,https://cb.imsc.res.in/imppat/phytochemical/Ammi%20majus
Ammi visnaga,https://cb.imsc.res.in/imppat/phytochemical/Ammi%20visnaga
Amomum aromaticum,https://cb.imsc.res.in/imppat/phytochemical/Amomum%20aromaticum
Amomum subulatum,https://cb.imsc.res.in/imppat/phytochemical/Amomum%20subulatum
Amomum testaceum,https://cb.imsc.res.in/imppat/phytochemical/Amomum%20testaceum
Amomum villosum,https://cb.imsc.res.in/imppat/phytochemical/Amomum%20villosum
Amorpha fruticosa,https://cb.imsc.res.in/imppat/phytochemical/Amorpha%20fruticosa
Amorphophallus paeoniifolius,https://cb.imsc.res.in/imppat/phytochemical/Amorphophallus%20paeoniifolius
Anacardium occidentale,https://cb.imsc.res.in/imppat/phytochemical/Anacardium%20occidentale
Anacyclus pyrethrum,https://cb.imsc.res.in/imppat/phytochemical/Anacyclus%20pyrethrum
Anagallis arvensis,https://cb.imsc.res.in/imppat/phytochemical/Anagallis%20arvensis
Anamirta cocculus,https://cb.imsc.res.in/imppat/phytochemical/Anamirta%20cocculus
Ananas comosus,https://cb.imsc.res.in/imppat/phytochemical/Ananas%20comosus
Anaphalis adnata,https://cb.imsc.res.in/imppat/phytochemical/Anaphalis%20adnata
Anaphalis busua,https://cb.imsc.res.in/imppat/phytochemical/Anaphalis%20busua
Anaphalis contorta,https://cb.imsc.res.in/imppat/phytochemical/Anaphalis%20contorta
Anaphalis margaritacea,https://cb.imsc.res.in/imppat/phytochemical/Anaphalis%20margaritacea
Anaphalis neelgerryana,https://cb.imsc.res.in/imppat/phytochemical/Anaphalis%20neelgerryana
Anaphalis triplinervis,https://cb.imsc.res.in/imppat/phytochemical/Anaphalis%20triplinervis
Anastatica hierochuntica,https://cb.imsc.res.in/imppat/phytochemical/Anastatica%20hierochuntica
