,Phytochemical,Kingdom,Family,Group,Common name,Synonymous names,System of medicine,IUCN Red List category
951,Clinopodium serpyllifolium,Plantae,Lamiaceae,Angiosperms,,"Micromeria fruticosa, Clinopodium serpyllifolium, Satureja fruticosa",,
952,Clinopodium umbrosum,Plantae,Lamiaceae,Angiosperms,Shady Calamint,"Calamintha umbrosa, Clinopodium umbrosum",,
953,Clinopodium vimineum,Plantae,Lamiaceae,Angiosperms,,"Satureja viminea, Clinopodium vimineum",,
954,Clinopodium vulgare,Plantae,Lamiaceae,Angiosperms,Cushion Calamint,"Calamintha clinopodium, Clinopodium vulgare",,
955,Clitoria mariana,Plantae,Leguminosae,Angiosperms,,Clitoria mariana,Ayurveda,
956,Clitoria ternatea,Plantae,Leguminosae,Angiosperms,Butterfly Pea,"Clitoria ternatea, Cilitoria ternatea","Ayurveda, Siddha, Sowa Rigpa, Unani",
957,Clivia miniata,Plantae,Amaryllidaceae,Angiosperms,Bush Lily,Clivia miniata,,
958,Clytostoma callistegioides,Plantae,Bignoniaceae,Angiosperms,,Clytostoma callistegioides,,
959,Cnidium monnieri,Plantae,Apiaceae,Angiosperms,,"Selinum monnieri, Seseli daucifolium, Cnidium monnieri, Cindium monnieri",,
960,Cobaea scandens,Plantae,Polemoniaceae,Angiosperms,Cup and Saucer Vine,Cobaea scandens,,
961,Coccinia grandis,Plantae,Cucurbitaceae,Angiosperms,Ivy Gourd,"Cephalandra indica, Coccinia indica, Coccinia grandis, Coccinea indica","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",
962,Coccoloba uvifera,Plantae,Polygonaceae,Angiosperms,Sea Grape,Coccoloba uvifera,,Least Concern
963,Cocculus hirsutus,Plantae,Menispermaceae,Angiosperms,Broom Creeper,"Cocculus villosus, Cocculus hirsutus, Cocculus hirsurus, Coceulus hirsutus","Ayurveda, Siddha, Unani",
964,Cocculus laurifolius,Plantae,Menispermaceae,Angiosperms,Laurel-Leaved Snail Tree,Cocculus laurifolius,,
965,Cocculus orbiculatus,Plantae,Menispermaceae,Angiosperms,,Cocculus orbiculatus,,
966,Cocculus pendulus,Plantae,Menispermaceae,Angiosperms,Pilwan,"Cocculus pendulus, Coceulus pendulus",,
967,Cochlospermum religiosum,Plantae,Bixaceae,Angiosperms,Buttercup Tree,"Cochlospermum gossypium, Cochlospermum religiosum","Ayurveda, Siddha, Unani",
968,Cochlospermum vitifolium,Plantae,Bixaceae,Angiosperms,,Cochlospermum vitifolium,,Least Concern
969,Cocos nucifera,Plantae,Arecaceae,Angiosperms,Coconut,"Cocos nucifera, Cocos mucifera, Cocus nucifera","Ayurveda, Siddha, Sowa Rigpa, Unani",
970,Codariocalyx motorius,Plantae,Leguminosae,Angiosperms,Telegraph Plant,"Desmodium gyrans, Desmodium motorium, Codariocalyx motorius",,
971,Codiaeum variegatum,Plantae,Euphorbiaceae,Angiosperms,Croton,Codiaeum variegatum,,Least Concern
972,Codonopsis clematidea,Plantae,Campanulaceae,Angiosperms,Clematis Bonnet Bellflower,Codonopsis clematidea,,
973,Codonopsis ovata,Plantae,Campanulaceae,Angiosperms,Kashmir Bonnet Bellflower,Codonopsis ovata,,
974,Coelogyne corymbosa,Plantae,Orchidaceae,Angiosperms,Clustered Coelogyne,"Coelogvne corymbosa, Coelogyne corymbosa",,
975,Coelogyne cristata,Plantae,Orchidaceae,Angiosperms,Crested Coelogyne,Coelogyne cristata,,
976,Coelogyne nitida,Plantae,Orchidaceae,Angiosperms,Shining Coelogyne,"Coelogyne ochracea, Coelogyne nitida",,
977,Coelogyne ovalis,Plantae,Orchidaceae,Angiosperms,Oval Coelogyne,Coelogyne ovalis,Ayurveda,
978,Coelogyne stricta,Plantae,Orchidaceae,Angiosperms,Erect Coelogyne,"Coelogyne elata, Coelogyne stricta",,
979,Coffea arabica,Plantae,Rubiaceae,Angiosperms,Coffee,Coffea arabica,"Ayurveda, Homeopathy, Siddha, Unani",Endangered
980,Coffea benghalensis,Plantae,Rubiaceae,Angiosperms,Bengal Coffee,"Coffea benghalensis, Coffea bengalensis",,Least Concern
981,Coffea canephora,Plantae,Rubiaceae,Angiosperms,Robusta Coffee,"Coffea robusta, Coffea canephora",,Least Concern
982,Coix lacryma-jobi,Plantae,Poaceae,Angiosperms,Job's Tears,"Coix lacryma, Coix lachryma-jobi, Coix lacryma-jobi, Coix lachryma","Ayurveda, Siddha, Unani",
983,Cola acuminata,Plantae,Malvaceae,Angiosperms,,Cola acuminata,Homeopathy,Least Concern
984,Cola nitida,Plantae,Malvaceae,Angiosperms,,Cola nitida,,Least Concern
985,Colchicum autumnale,Plantae,Colchicaceae,Angiosperms,,Colchicum autumnale,"Homeopathy, Unani",Least Concern
986,Colchicum luteum,Plantae,Colchicaceae,Angiosperms,Yellow Colchicum,Colchicum luteum,"Ayurveda, Siddha, Unani",
987,Colebrookea oppositifolia,Plantae,Lamiaceae,Angiosperms,Indian Squirrel Tail,"Colebrookia oppositifolia, Colebrookea oppositifolia, Colebrokkea oppositifolia","Siddha, Unani",Least Concern
988,Coleus forskohlii,Plantae,Lamiaceae,Angiosperms,,Coleus forskohlii,Ayurveda,
989,Colocasia esculenta,Plantae,Araceae,Angiosperms,Taro,"Colocasia esculenta, Steudnera virosa, Colocasia nymphaefolia","Ayurveda, Siddha, Unani",Least Concern
990,Colophospermum mopane,Plantae,Leguminosae,Angiosperms,,Colophospermum mopane,,Least Concern
991,Colquhounia coccinea,Plantae,Lamiaceae,Angiosperms,Himalayan Mint Shrub,"Colquhounia coccinea, Colquhounia coccinia",,
992,Colubrina asiatica,Plantae,Rhamnaceae,Angiosperms,,Colubrina asiatica,Siddha,Least Concern
993,Combretum albidum,Plantae,Combretaceae,Angiosperms,,"Combaretum albidum, Combretum albidum",,
994,Combretum indicum,Plantae,Combretaceae,Angiosperms,Rangoon Creeper,"Quisqualis indica, Combretum indicum",Siddha,
995,Combretum quadrangulare,Plantae,Combretaceae,Angiosperms,,Combretum quadrangulare,,
996,Commelina benghalensis,Plantae,Commelinaceae,Angiosperms,Bengal Dayflower,Commelina benghalensis,"Ayurveda, Siddha",Least Concern
997,Commelina communis,Plantae,Commelinaceae,Angiosperms,,Commelina communis,,
998,Commelina erecta,Plantae,Commelinaceae,Angiosperms,,Commelina erecta,,Least Concern
999,Commiphora caudata,Plantae,Burseraceae,Angiosperms,South-Indian Commiphora,"Balsamodendron caudata, Commiphora caudata","Ayurveda, Siddha",
1000,Commiphora mukul,Plantae,Burseraceae,Angiosperms,,"Balsamodendron mukul, Commiphora mukul","Ayurveda, Siddha, Sowa Rigpa, Unani",
1001,Commiphora myrrha,Plantae,Burseraceae,Angiosperms,,"Balsamodendron myrrha, Commiphora myrrha","Ayurveda, Siddha, Sowa Rigpa, Unani",
1002,Commiphora ornifolia,Plantae,Burseraceae,Angiosperms,,Commiphora ornifolia,,Near Threatened
1003,Commiphora parvifolia,Plantae,Burseraceae,Angiosperms,,Commiphora parvifolia,,Near Threatened
1004,Commiphora stocksiana,Plantae,Burseraceae,Angiosperms,,"Balsamodendron pubescens, Commiphora stocksiana",Ayurveda,Endangered
1005,Commiphora wightii,Plantae,Burseraceae,Angiosperms,Guggal,"Commiphora wightii, Commiphora roxburghii","Ayurveda, Siddha, Sowa Rigpa, Unani",Critically Endangered
1006,Conium maculatum,Plantae,Apiaceae,Angiosperms,Poison Hemlock,"Conium maculatum, Conium macularum","Homeopathy, Siddha, Unani",
1007,Connarus monocarpus,Plantae,Connaraceae,Angiosperms,,Connarus monocarpus,Siddha,
1008,Connarus wightii,Plantae,Connaraceae,Angiosperms,,Connarus wightii,,
1009,Consolida ajacis,Plantae,Ranunculaceae,Angiosperms,Larkspur,"Consolida ambigua, Delphinium ajacis, Consolida ajacis, Consolida ambiqua",,
1010,Consolida orientalis,Plantae,Ranunculaceae,Angiosperms,,Consolida orientalis,,
1011,Consolida regalis,Plantae,Ranunculaceae,Angiosperms,,"Delphinium consolida, Consolida regalis",,
1012,Convallaria majalis,Plantae,Asparagaceae,Angiosperms,European Lily of the Valley,Convallaria majalis,Homeopathy,
1013,Convolvulus arvensis,Plantae,Convolvulaceae,Angiosperms,Field Bindweed,"Convolvulus arvensis, Convulvulus arvensis","Ayurveda, Homeopathy, Siddha, Unani",
1014,Convolvulus auricomus,Plantae,Convolvulaceae,Angiosperms,,"Convolvulus auricomus, Convulvulus auricomus",,
1015,Convolvulus microphyllus,Plantae,Convolvulaceae,Angiosperms,,"Convolvulus microphyllus, Convulvulus microphyllus",Ayurveda,
1016,Convolvulus prostratus,Plantae,Convolvulaceae,Angiosperms,Shankh Pushpi,"Convolvulus pluricaulis, Convolvulus prostratus, Convelvulus pluricaulis, Convolvulus pluricaunlis, Convalvulus prostratus, Convolvilus prostratus","Ayurveda, Siddha, Unani",
1017,Convolvulus scammonia,Plantae,Convolvulaceae,Angiosperms,,"Convolvulus scammonia, Convolvulus sczmmonia","Homeopathy, Siddha, Unani",
1018,Conyza leucantha,Plantae,Compositae,Angiosperms,,"Conyza viscidula, Conyza leucantha",,
1019,Coptis teeta,Plantae,Ranunculaceae,Angiosperms,,Coptis teeta,"Ayurveda, Siddha, Unani",Endangered
1020,Corallocarpus epigaeus,Plantae,Cucurbitaceae,Angiosperms,Redfruit Creeper,Corallocarpus epigaeus,"Ayurveda, Siddha, Sowa Rigpa",
1021,Corchorus aestuans,Plantae,Malvaceae,Angiosperms,East Indian Mallow,"Corchorus acutangularis, Corchorus acutangulus, Corchorus aestuans, Corchorus aestuany","Ayurveda, Unani",
1022,Corchorus capsularis,Plantae,Malvaceae,Angiosperms,White Jute,"Corchorus capsularis, Corchorus capsuluris","Ayurveda, Siddha",
1023,Corchorus depressus,Plantae,Malvaceae,Angiosperms,Bahuphali,"Corchorus antichorus, Corchorus depressus","Ayurveda, Unani",
1024,Corchorus fascicularis,Plantae,Malvaceae,Angiosperms,African Jute,"Corchorous fascicularis, Corchorus fascicularis","Ayurveda, Unani",
1025,Corchorus olitorius,Plantae,Malvaceae,Angiosperms,Nalta Jute,Corchorus olitorius,"Ayurveda, Siddha, Unani",
1026,Corchorus tridens,Plantae,Malvaceae,Angiosperms,Horn-Fruited Jute,Corchorus tridens,,
1027,Corchorus trilocularis,Plantae,Malvaceae,Angiosperms,Wild Jute,Corchorus trilocularis,Ayurveda,
1028,Cordia cylindrostachya,Plantae,Boraginaceae,Angiosperms,,"Cordia cylindrostachya, Cordia cylindristachya",,
1029,Cordia dichotoma,Plantae,Boraginaceae,Angiosperms,Indian Cherry,"Cordia wallichii, Cordia latifolia, Cordia obliqua, Cordia dichotoma, Cordia dichotama","Ayurveda, Siddha, Sowa Rigpa, Unani",Least Concern
1030,Cordia myxa,Plantae,Boraginaceae,Angiosperms,,Cordia myxa,"Ayurveda, Siddha, Sowa Rigpa, Unani",Least Concern
1031,Cordia sebestena,Plantae,Boraginaceae,Angiosperms,Scarlet Cordia,Cordia sebestena,,Least Concern
1032,Cordia sinensis,Plantae,Boraginaceae,Angiosperms,Long-Leaf Cordia,"Cordia angustifolia, Cordia gharaf, Cordia rothii, Cordia sinensis","Ayurveda, Siddha",Least Concern
1033,Cordyline australis,Plantae,Asparagaceae,Angiosperms,Cabbage Tree,Cordyline australis,,
1034,Cordyline fruticosa,Plantae,Asparagaceae,Angiosperms,Ti Plant,Cordyline fruticosa,,Least Concern
1035,Coreopsis grandiflora,Plantae,Compositae,Angiosperms,,Coreopsis grandiflora,,
1036,Coreopsis tinctoria,Plantae,Compositae,Angiosperms,Golden Coreopsis,Coreopsis tinctoria,,
1037,Coriandrum sativum,Plantae,Apiaceae,Angiosperms,Coriander,"Coriandrum sativum, Coriandrum sativam","Ayurveda, Siddha, Sowa Rigpa, Unani",
1038,Coriaria nepalensis,Plantae,Coriariaceae,Angiosperms,Masuri Berry,Coriaria nepalensis,,
1039,Cornus capitata,Plantae,Cornaceae,Angiosperms,Himalayan Strawberry Tree,"Benthamidia capitata, Cornus capitata",,Least Concern
1040,Cornus controversa,Plantae,Cornaceae,Angiosperms,,Cornus controversa,,Least Concern
1041,Cornus kousa,Plantae,Cornaceae,Angiosperms,,Cornus kousa,,Least Concern
1042,Cornus macrophylla,Plantae,Cornaceae,Angiosperms,Large Leaf Dogwood,"Swida macrophylla, Cornus macrophylla",,Least Concern
1043,Cornus sanguinea,Plantae,Cornaceae,Angiosperms,,"Swida sanguinea, Cornus sanguinea",,
1044,Cortaderia selloana,Plantae,Poaceae,Angiosperms,,Cortaderia selloana,,
1045,Corydalis chaerophylla,Plantae,Papaveraceae,Angiosperms,,Corydalis chaerophylla,,
1046,Corydalis cornuta,Plantae,Papaveraceae,Angiosperms,Horned Corydalis,"Corydalis stewartii, Corydalis cornuta",,
1047,Corydalis flabellata,Plantae,Papaveraceae,Angiosperms,,"Corydalis flabellate, Corydalis flabellata",Unani,
1048,Corydalis govaniana,Plantae,Papaveraceae,Angiosperms,Govan's Corydalis,Corydalis govaniana,Ayurveda,
1049,Corydalis longipes,Plantae,Papaveraceae,Angiosperms,,"Corydalis longipes, Convdalis longipes",,
1050,Corydalis meifolia,Plantae,Papaveraceae,Angiosperms,Threadleaf Corydalis,"Corydalis meifolia, Corydalis meiofolia",,
1051,Corydalis ophiocarpa,Plantae,Papaveraceae,Angiosperms,Snake Pod Corydalis,Corydalis ophiocarpa,,
1052,Corydalis stricta,Plantae,Papaveraceae,Angiosperms,,Corydalis stricta,,
1053,Corydalis vaginans,Plantae,Papaveraceae,Angiosperms,Glaucous Corydalis,"Corydalis ramosa, Corydalis vaginans",,
1054,Corylus avellana,Plantae,Betulaceae,Angiosperms,Common Hazel,"Corylus avellana, Corylus avillana",Unani,Least Concern
1055,Corymbia calophylla,Plantae,Myrtaceae,Angiosperms,,"Eucalyptus calophylla, Corymbia calophylla",,Near Threatened
1056,Corymbia citriodora,Plantae,Myrtaceae,Angiosperms,Lemon Scented Gum,"Eucalyptus citriodora, Corymbia citriodora, Eucalyptus citridora, Eucalyptus citriodoma",,Least Concern
1057,Corymbia eximia,Plantae,Myrtaceae,Angiosperms,,"Eucalyptus eximia, Corymbia eximia",,Least Concern
1058,Corymbia gummifera,Plantae,Myrtaceae,Angiosperms,,"Eucalyptus gummifera, Corymbia gummifera",,Near Threatened
1059,Corymbia maculata,Plantae,Myrtaceae,Angiosperms,,"Eucalyptus maculata, Corymbia maculata",,Least Concern
1060,Corymbia tessellaris,Plantae,Myrtaceae,Angiosperms,,"Eucalyptus tesselaris, Corymbia tessellaris",,Near Threatened
1061,Corymbia torelliana,Plantae,Myrtaceae,Angiosperms,,"Eucalyptus torelliana, Corymbia torelliana",,Least Concern
1062,Coscinium fenestratum,Plantae,Menispermaceae,Angiosperms,,"Coscinium fenestratum, Coscinum fenestratum, Coscinium jenestratum","Ayurveda, Siddha, Sowa Rigpa",Data Deficient
1063,Cosmos bipinnatus,Plantae,Compositae,Angiosperms,Cosmos Pied Piper Red,"Cosmos bipinnatus, Cosmos bininnatus",,
1064,Cosmos sulphureus,Plantae,Compositae,Angiosperms,Sulphur Cosmos,Cosmos sulphureus,,
1065,Cotinus coggygria,Plantae,Anacardiaceae,Angiosperms,Smoke Tree,"Cotinus coggyria, Rhus cotinus, Cotinus coggygria, Continus coggygria",,Least Concern
1066,Cotoneaster adpressus,Plantae,Rosaceae,Angiosperms,Garhwal Cotoneaster,Cotoneaster adpressus,,
1067,Cotoneaster aitchisonii,Plantae,Rosaceae,Angiosperms,,Cotoneaster aitchisonii,,
1068,Cotoneaster integrifolius,Plantae,Rosaceae,Angiosperms,Entire-Leaf Cotoneaster,"Cotoneaster integrifolius, Cotoneaster inteprifolius",,
1069,Cotoneaster microphyllus,Plantae,Rosaceae,Angiosperms,Rockspray Cotoneaster,"Cotoneaster microphyllus, Cotoneaster microphylla",,
1070,Couroupita guianensis,Plantae,Lecythidaceae,Angiosperms,Cannon Ball Tree,"Couroupita guianensis, Courouptia guianensis",,Lower Risk/least concern
1071,Crambe hispanica,Plantae,Brassicaceae,Angiosperms,,"Crambe hispanica, Crambe abyssinica",,
1072,Crambe maritima,Plantae,Brassicaceae,Angiosperms,,Crambe maritima,,
1073,Crassocephalum crepidioides,Plantae,Compositae,Angiosperms,Thickhead,"Gynura crepidioides, Crassocephalum crepidioides",,
1074,Crataegus pinnatifida,Plantae,Rosaceae,Angiosperms,,Crataegus pinnatifida,,Least Concern
1075,Crataegus rhipidophylla,Plantae,Rosaceae,Angiosperms,,"Crataegus oxyacantha, Crataegus rhipidophylla, Crataegus oxycantha, Crataegeus oxyacantha",,Least Concern
1076,Crataegus songarica,Plantae,Rosaceae,Angiosperms,Asian Hawthorn,Crataegus songarica,,Least Concern
1077,Crateva adansonii,Plantae,Capparaceae,Angiosperms,Garlic Pear Tree,"Crateva adansonii, Crateva odora, Crateva roxburghi, Crataeva adansonii, Crataeva odora",Ayurveda,Least Concern
1078,Crateva nurvala,Plantae,Capparaceae,Angiosperms,,"Crataeva nurvala, Crateva nurvala, Crateva lophosperma, Crataeva muurvala","Ayurveda, Siddha, Unani",
1079,Crateva religiosa,Plantae,Capparaceae,Angiosperms,Large Garlic Pear,"Crateva magna, Crateva religiosa, Crataeva religiosa, Crataeva magna","Ayurveda, Siddha",Least Concern
1080,Cratoxylum cochinchinense,Plantae,Hypericaceae,Angiosperms,,"Cratoxylum polyanthum, Cratoxylum cochinchinense, Cratoxylum cochinchinese",,Lower Risk/least concern
1081,Cratoxylum formosum,Plantae,Hypericaceae,Angiosperms,,"Cratoxylum pruniflorum, Cratoxylum formosum",,Lower Risk/least concern
1082,Cremanthodium arnicoides,Plantae,Compositae,Angiosperms,Arnica Himalayan Sunflower,"Senecio arnicoides, Cremanthodium arnicoides, Cemanthodium arnicoides, Ligularia arnicoides, Senecio connatus, Chremanthopodium arnicoides",,
1083,Crepidium acuminatum,Plantae,Orchidaceae,Angiosperms,Jeevak,"Microstylis wallichii, Malaxis acuminata, Crepidium acuminatum, Malaxis biloba",Ayurveda,
1084,Crescentia cujete,Plantae,Bignoniaceae,Angiosperms,,Crescentia cujete,Siddha,Least Concern
1085,Cressa cretica,Plantae,Convolvulaceae,Angiosperms,Rudravanti,Cressa cretica,"Ayurveda, Siddha, Unani",Least Concern
1086,Crinum amabile,Plantae,Amaryllidaceae,Angiosperms,,"Crinum amabile, Crinum augustum",,
1087,Crinum asiaticum,Plantae,Amaryllidaceae,Angiosperms,Grand Crinum Lily,Crinum asiaticum,"Ayurveda, Siddha, Unani",
1088,Crinum bulbispermum,Plantae,Amaryllidaceae,Angiosperms,,Crinum bulbispermum,,
1089,Crinum jagus,Plantae,Amaryllidaceae,Angiosperms,,Crinum jagus,,Least Concern
1090,Crinum latifolium,Plantae,Amaryllidaceae,Angiosperms,Milk and Wine Lily,Crinum latifolium,"Ayurveda, Siddha",
1091,Crinum lorifolium,Plantae,Amaryllidaceae,Angiosperms,,"Crinum pratense, Crinum lorifolium",,Least Concern
1092,Crinum viviparum,Plantae,Amaryllidaceae,Angiosperms,River Crinum Lily,"Crinum defixum, Crinum viviparum","Ayurveda, Siddha",Least Concern
1093,Crinum zeylanicum,Plantae,Amaryllidaceae,Angiosperms,,Crinum zeylanicum,,
1094,Crithmum maritimum,Plantae,Apiaceae,Angiosperms,,Crithmum maritimum,,
1095,Crocus sativus,Plantae,Iridaceae,Angiosperms,Saffron Flower,"Crocus sativus, Cortus sativum","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",
1096,Crossandra infundibuliformis,Plantae,Acanthaceae,Angiosperms,Crossandra,"Crossandra infundibuliformis, Crossandra undulaefolia, Justicia infundibuliformis",,Least Concern
1097,Crotalaria agatiflora,Plantae,Leguminosae,Angiosperms,,"Crotalaria agatiflora, Crotalaria agatifiora",,Least Concern
1098,Crotalaria alata,Plantae,Leguminosae,Angiosperms,Winged-Stem Rattlepod,Crotalaria alata,,
1099,Crotalaria albida,Plantae,Leguminosae,Angiosperms,Mountain Rattlepod,Crotalaria albida,,Least Concern
1100,Crotalaria angulata,Plantae,Leguminosae,Angiosperms,Coinwort Rattlepod,Crotalaria angulata,,
1101,Crotalaria assamica,Plantae,Leguminosae,Angiosperms,,Crotalaria assamica,,Least Concern
1102,Crotalaria barbata,Plantae,Leguminosae,Angiosperms,,Crotalaria barbata,,
1103,Crotalaria brevidens,Plantae,Leguminosae,Angiosperms,,"Crotalaria intermedia, Crotalaria brevidens",,
1104,Crotalaria breviflora,Plantae,Leguminosae,Angiosperms,,"Crotalaria lejoloba, Crotalaria breviflora, Crotalaria brevifolia",,
1105,Crotalaria burhia,Plantae,Leguminosae,Angiosperms,Burhia Rattlepod,Crotalaria burhia,,
1106,Crotalaria calycina,Plantae,Leguminosae,Angiosperms,Silky-Haired Rattlepod,"Crotalaria calycina, Crotalaria stricta",,
1107,Crotalaria candicans,Plantae,Leguminosae,Angiosperms,,Crotalaria candicans,,
1108,Crotalaria ferruginea,Plantae,Leguminosae,Angiosperms,Rusty Rattlepod,Crotalaria ferruginea,,
1109,Crotalaria grahamiana,Plantae,Leguminosae,Angiosperms,Bushy Rattlepod,Crotalaria grahamiana,,
1110,Crotalaria hebecarpa,Plantae,Leguminosae,Angiosperms,Fuzzy Fruited Rattlepod,"Goniogyna hirta, Heylandia latebrosa, Crotalaria hebecarpa",,
1111,Crotalaria incana,Plantae,Leguminosae,Angiosperms,,Crotalaria incana,,
1112,Crotalaria juncea,Plantae,Leguminosae,Angiosperms,Sunn Hemp,"Crotolaria juncea, Crotalaria juncea","Ayurveda, Siddha, Unani",
1113,Crotalaria laburnifolia,Plantae,Leguminosae,Angiosperms,,"Crotalaria laburnifolia, Crotalaria labunifolia, Crotalaria laburnfolia",Siddha,
1114,Crotalaria linifolia,Plantae,Leguminosae,Angiosperms,Flax-Leaf Rattlepod,Crotalaria linifolia,,
1115,Crotalaria madurensis,Plantae,Leguminosae,Angiosperms,,Crotalaria madurensis,,
1116,Crotalaria medicaginea,Plantae,Leguminosae,Angiosperms,Medick Rattlepod,Crotalaria medicaginea,,
1117,Crotalaria micans,Plantae,Leguminosae,Angiosperms,Shining Rattlepod,"Crotalaria anagyroides, Crotalaria micans",,Least Concern
1118,Crotalaria mysorensis,Plantae,Leguminosae,Angiosperms,Mysore Rattlepod,Crotalaria mysorensis,,
1119,Crotalaria nana,Plantae,Leguminosae,Angiosperms,Tiny Rattlepod,Crotalaria nana,,
1120,Crotalaria pallida,Plantae,Leguminosae,Angiosperms,Roundleaf Smooth Rattlepod,"Crotalaria mucronata, Crotalaria striata, Crotalaria pallida, Crotalaria brownie",,
1121,Crotalaria paniculata,Plantae,Leguminosae,Angiosperms,Panicled Rattlepod,Crotalaria paniculata,,Least Concern
1122,Crotalaria ramosissima,Plantae,Leguminosae,Angiosperms,,Crotalaria ramosissima,,
1123,Crotalaria retusa,Plantae,Leguminosae,Angiosperms,Rattleweed,"Crotalaria retusa, Crotalaria refusa",Ayurveda,
1124,Crotalaria rubiginosa,Plantae,Leguminosae,Angiosperms,,Crotalaria rubiginosa,,
1125,Crotalaria scabrella,Plantae,Leguminosae,Angiosperms,,"Crotalaria ovalifolia, Crotalaria scabrella",,Least Concern
1126,Crotalaria sessiliflora,Plantae,Leguminosae,Angiosperms,Stalkless Blue Rattlepod,Crotalaria sessiliflora,,
1127,Crotalaria spectabilis,Plantae,Leguminosae,Angiosperms,Showy Rattlepod,"Crotalaria leschenaultii, Crotalaria sericea, Crotalaria spectabilis",,
1128,Crotalaria stipularia,Plantae,Leguminosae,Angiosperms,,Crotalaria stipularia,,
1129,Crotalaria tetragona,Plantae,Leguminosae,Angiosperms,Eastern Rattlepod,Crotalaria tetragona,,
1130,Crotalaria trifoliastrum,Plantae,Leguminosae,Angiosperms,,Crotalaria trifoliastrum,,
1131,Crotalaria triquetra,Plantae,Leguminosae,Angiosperms,Three-Angled Rattlepod,Crotalaria triquetra,,
1132,Crotalaria umbellata,Plantae,Leguminosae,Angiosperms,,Crotalaria umbellata,,
1133,Crotalaria verrucosa,Plantae,Leguminosae,Angiosperms,Blue Rattlepod,"Crotalaria semperflorens, Crotalaria verrucosa","Ayurveda, Siddha",
1134,Crotalaria walkeri,Plantae,Leguminosae,Angiosperms,Walker's Rattlepod,Crotalaria walkeri,,
1135,Crotalaria wightiana,Plantae,Leguminosae,Angiosperms,,Crotalaria wightiana,,
1136,Croton bonplandianus,Plantae,Euphorbiaceae,Angiosperms,Ban Tulsi,"Croton bonplandianum, Croton sparsiflorus, Croton bonplandianus, Croton bonplandianis",Siddha,
1137,Croton caudatus,Plantae,Euphorbiaceae,Angiosperms,Climbing Croton,Croton caudatus,,
1138,Croton joufra,Plantae,Euphorbiaceae,Angiosperms,,Croton joufra,,
1139,Croton laccifer,Plantae,Euphorbiaceae,Angiosperms,,Croton laccifer,,
1140,Croton persimilis,Plantae,Euphorbiaceae,Angiosperms,Croton Tree,"Croton roxburghii, Croton oblongifolius, Croton persimilis",Ayurveda,
1141,Croton sublyratus,Plantae,Euphorbiaceae,Angiosperms,,Croton sublyratus,,
1142,Croton tiglium,Plantae,Euphorbiaceae,Angiosperms,,"Croton tiglium, Croton officinalis, Tiglium officinale","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Least Concern
1143,Cryptocarya amygdalina,Plantae,Lauraceae,Angiosperms,,Cryptocarya amygdalina,,
1144,Cryptocarya wightiana,Plantae,Lauraceae,Angiosperms,,"Cryptocarya bourdillonii, Cryptocarya wightiana, Cryptocarya bourdilloni",Siddha,Vulnerable
1145,Cryptocoryne spiralis,Plantae,Araceae,Angiosperms,,"Cryptocoryne spiralis, Ambrosinia spiralis, Arum spirale, Cryptocoryne huegelii",,
1146,Cryptolepis dubia,Plantae,Apocynaceae,Angiosperms,Wax Leaved Climber,"Cryptolepis buchanani, Cryptolepis buchananii, Cryptolepis dubia, Cryptolepis buchanaii, Nerium reticulatum","Ayurveda, Siddha",
1147,Cryptolepis sinensis,Plantae,Apocynaceae,Angiosperms,Chinese Wax-Leaf Climber,"Cryptolepis elegans, Cryptolepis sinensis, Pergularia sinensis",,
1148,Cryptomeria japonica,Plantae,Cupressaceae,Gymnosperms,Japanese Cedar,Cryptomeria japonica,,Near Threatened
1149,Cryptostegia grandiflora,Plantae,Apocynaceae,Angiosperms,Rubber Vine,"Cryptostegia grandiflora, Cryptostegia grandifora",Siddha,
1150,Cucumis melo,Plantae,Cucurbitaceae,Angiosperms,Melon,"Cucumis momordica, Cucumis utilissimus, Cucumis trigonus, Cucumis callosus, Cucumis melo, Cucumis pseudo-colocynthis","Ayurveda, Siddha, Unani",
1151,Cucumis prophetarum,Plantae,Cucurbitaceae,Angiosperms,Wild Gourd,"Cucumis prophetarum, Cucumis propheterun",Ayurveda,
1152,Cucumis sativus,Plantae,Cucurbitaceae,Angiosperms,Cucumber,"Cucumis sativus, Cucumis sativis","Ayurveda, Siddha, Sowa Rigpa, Unani",
1153,Cucurbita ficifolia,Plantae,Cucurbitaceae,Angiosperms,,Cucurbita ficifolia,,
1154,Cucurbita foetidissima,Plantae,Cucurbitaceae,Angiosperms,,Cucurbita foetidissima,,Least Concern
1155,Cucurbita maxima,Plantae,Cucurbitaceae,Angiosperms,Giant Pumpkin,Cucurbita maxima,"Ayurveda, Siddha, Unani",
1156,Cucurbita moschata,Plantae,Cucurbitaceae,Angiosperms,Butternut Pumpkin,Cucurbita moschata,"Ayurveda, Siddha, Unani",
1157,Cucurbita pepo,Plantae,Cucurbitaceae,Angiosperms,Pumpkin,Cucurbita pepo,"Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Least Concern
