,Phytochemical,Kingdom,Family,Group,Common name,Synonymous names,System of medicine,IUCN Red List category
3315,Salvia carduacea,Plantae,Lamiaceae,Angiosperms,,Salvia carduacea,,
3316,Salvia castanea,Plantae,Lamiaceae,Angiosperms,,Salvia castanea,,
3317,Salvia coccinea,Plantae,Lamiaceae,Angiosperms,Coral Nymph Sage,Salvia coccinea,Ayurveda,
3318,Salvia hians,Plantae,Lamiaceae,Angiosperms,Himalayan Blue Sage,Salvia hians,,
3319,Salvia leucantha,Plantae,Lamiaceae,Angiosperms,Mexican Bush Sage,Salvia leucantha,,
3320,Salvia miltiorrhiza,Plantae,Lamiaceae,Angiosperms,,Salvia miltiorrhiza,,
3321,Salvia moorcroftiana,Plantae,Lamiaceae,Angiosperms,Kashmir Salvia,"Salvia moorcroftiana, Salvia moorcorftiana, Salvia moorcraftiana",,
3322,Salvia mukerjeei,Plantae,Lamiaceae,Angiosperms,,"Salvia mukerjeea, Salvia lanata, Salvia mukerjeei",,
3323,Salvia nemorosa,Plantae,Lamiaceae,Angiosperms,,Salvia nemorosa,,
3324,Salvia officinalis,Plantae,Lamiaceae,Angiosperms,,Salvia officinalis,"Homeopathy, Siddha",Least Concern
3325,Salvia palaestina,Plantae,Lamiaceae,Angiosperms,,Salvia palaestina,,
3326,Salvia plebeia,Plantae,Lamiaceae,Angiosperms,Sage Weed,"Salvia plebeia, Salvia plebia","Ayurveda, Siddha",
3327,Salvia pratensis,Plantae,Lamiaceae,Angiosperms,,"Salvia haematodes, Salvia pratensis, Saliva hamatodes, Salvia haemetodes",Unani,
3328,Salvia roborowskii,Plantae,Lamiaceae,Angiosperms,,Salvia roborowskii,,
3329,Salvia sclarea,Plantae,Lamiaceae,Angiosperms,Clary Sage,Salvia sclarea,Unani,
3330,Salvia spinosa,Plantae,Lamiaceae,Angiosperms,,Salvia spinosa,Unani,
3331,Salvia splendens,Plantae,Lamiaceae,Angiosperms,Scarlet Sage,Salvia splendens,,
3332,Salvia tomentosa,Plantae,Lamiaceae,Angiosperms,,Salvia tomentosa,,
3333,Salvia trijuga,Plantae,Lamiaceae,Angiosperms,,Salvia trijuga,,
3334,Salvia verbenaca,Plantae,Lamiaceae,Angiosperms,,Salvia verbenaca,,
